chrom	start	end	cn	bias	valid
X	0	50000		1.0	False
X	50000	100000	0.0133427335380526	1.0	False
X	100000	150000	0.0133427335380526	1.0	False
X	150000	200000	0.0133427335380526	1.0	False
X	200000	250000	0.0133427335380526	1.0	False
X	250000	300000	0.0133427335380526	1.0	False
X	300000	350000	0.0133427335380526	1.0	False
X	350000	400000	0.0133427335380526	1.0	False
X	400000	450000	0.0133427335380526	1.0	False
X	450000	500000	0.0133427335380526	1.0	False
X	500000	550000	0.0133427335380526	1.0	False
X	550000	600000	0.0133427335380526	1.0	False
X	600000	650000	0.0133427335380526	1.0	False
X	650000	700000	0.0133427335380526	1.0	False
X	700000	750000	0.0133427335380526	1.0	False
X	750000	800000	0.0133427335380526	1.0	False
X	800000	850000	0.0133427335380526	1.0	False
X	850000	900000	0.0133427335380526	1.0	False
X	900000	950000	0.0133427335380526	1.0	False
X	950000	1000000	0.0133427335380526	1.0	False
X	1000000	1050000	0.0133427335380526	1.0	False
X	1050000	1100000	0.0133427335380526	1.0	False
X	1100000	1150000	0.0133427335380526	1.0	False
X	1150000	1200000	0.0133427335380526	1.0	False
X	1200000	1250000	0.0133427335380526	1.0	False
X	1250000	1300000	0.0133427335380526	1.0	False
X	1300000	1350000	0.0133427335380526	1.0	False
X	1350000	1400000	0.0133427335380526	1.0	False
X	1400000	1450000	0.0133427335380526	1.0	False
X	1450000	1500000	0.0133427335380526	1.0	False
X	1500000	1550000	0.0133427335380526	1.0	False
X	1550000	1600000	0.0133427335380526	1.0	False
X	1600000	1650000	0.0133427335380526	1.0	False
X	1650000	1700000	0.0133427335380526	1.0	False
X	1700000	1750000	0.0133427335380526	1.0	False
X	1750000	1800000	0.0133427335380526	1.0	False
X	1800000	1850000	0.0133427335380526	1.0	False
X	1850000	1900000	0.0133427335380526	1.0	False
X	1900000	1950000	0.0133427335380526	1.0	False
X	1950000	2000000	0.0133427335380526	1.0	False
X	2000000	2050000	0.0133427335380526	1.0	False
X	2050000	2100000	0.0133427335380526	1.0	False
X	2100000	2150000	0.0133427335380526	1.0	False
X	2150000	2200000	0.0133427335380526	1.0	False
X	2200000	2250000	0.0133427335380526	1.0	False
X	2250000	2300000	0.0133427335380526	1.0	False
X	2300000	2350000	0.0133427335380526	1.0	False
X	2350000	2400000	0.0133427335380526	1.0	False
X	2400000	2450000	0.0133427335380526	1.0	False
X	2450000	2500000	0.0133427335380526	1.0	False
X	2500000	2550000	0.0133427335380526	1.0	False
X	2550000	2600000	0.0133427335380526	1.0	False
X	2600000	2650000	0.0133427335380526	1.0	False
X	2650000	2700000	0.0133427335380526	1.0	False
X	2700000	2750000	2.1894966156892863	0.5	True
X	2750000	2800000	2.1894966156892863	0.7076858112100363	True
X	2800000	2850000	2.1894966156892863	0.8188503575021384	True
X	2850000	2900000	2.1894966156892863	0.7482857515622842	True
X	2900000	2950000	2.1894966156892863	0.9082253760787325	True
X	2950000	3000000	2.1894966156892863	0.8608785343658705	True
X	3000000	3050000	2.1894966156892863	0.9977223109574114	True
X	3050000	3100000	2.1894966156892863	0.8273464366832004	True
X	3100000	3150000	2.1894966156892863	0.8554791435938087	True
X	3150000	3200000	2.1894966156892863	0.909602119051275	True
X	3200000	3250000	2.1894966156892863	0.7205155737263237	True
X	3250000	3300000	2.1894966156892863	0.9259666034203448	True
X	3300000	3350000	2.1894966156892863	0.8554185839073534	True
X	3350000	3400000	2.1894966156892863	0.9063760434589799	True
X	3400000	3450000	2.1894966156892863	0.8299159377914942	True
X	3450000	3500000	2.1894966156892863	0.8579090952257923	True
X	3500000	3550000	2.1894966156892863	0.8374062320910903	True
X	3550000	3600000	2.1894966156892863	0.8176112604694984	True
X	3600000	3650000	2.1894966156892863	0.5122077902283245	True
X	3650000	3700000	0.8263352496296094	1.0747720291493035	True
X	3700000	3750000	0.8263352496296094	1.0682256878846783	True
X	3750000	3800000	0.8263352496296094	0.5	True
X	3800000	3850000	0.8263352496296094	0.5	True
X	3850000	3900000	0.8263352496296094	0.9678508472230256	True
X	3900000	3950000	0.8263352496296094	0.8088942858152858	True
X	3950000	4000000	0.8263352496296094	0.9163291292195781	True
X	4000000	4050000	0.8263352496296094	0.921930912451932	True
X	4050000	4100000	0.8263352496296094	0.9318497878916027	True
X	4100000	4150000	0.8263352496296094	0.9894895649406763	True
X	4150000	4200000	0.8263352496296094	1.0217264483925073	True
X	4200000	4250000	0.8263352496296094	1.0226567369006634	True
X	4250000	4300000	0.8263352496296094	1.0692862181268072	True
X	4300000	4350000	0.8263352496296094	1.120047388128644	True
X	4350000	4400000	0.8263352496296094	0.9819304618447509	True
X	4400000	4450000	0.8263352496296094	1.0930040037297637	True
X	4450000	4500000	0.8263352496296094	1.0113201173337565	True
X	4500000	4550000	0.8263352496296094	0.9952771970684384	True
X	4550000	4600000	0.8263352496296094	1.075394837155858	True
X	4600000	4650000	0.8263352496296094	0.9572807880109838	True
X	4650000	4700000	0.8263352496296094	0.9280925576662556	True
X	4700000	4750000	0.8263352496296094	0.978716300321801	True
X	4750000	4800000	0.8263352496296094	1.0082003312821792	True
X	4800000	4850000	0.8263352496296094	0.9462056324071767	True
X	4850000	4900000	0.8263352496296094	0.9921804814305999	True
X	4900000	4950000	0.8263352496296094	0.9835767367331626	True
X	4950000	5000000	0.8263352496296094	1.0655112307258452	True
X	5000000	5050000	0.8263352496296094	1.0521705980355163	True
X	5050000	5100000	0.8263352496296094	1.0695569108776057	True
X	5100000	5150000	0.8263352496296094	1.0337645864755771	True
X	5150000	5200000	0.8263352496296094	0.9404001197220786	True
X	5200000	5250000	0.8263352496296094	0.956466885747751	True
X	5250000	5300000	0.8263352496296094	0.9502071286222585	True
X	5300000	5350000	0.8263352496296094	0.9624712529050581	True
X	5350000	5400000	0.8263352496296094	0.8708711270186429	True
X	5400000	5450000	0.8263352496296094	0.9475655684887253	True
X	5450000	5500000	0.8263352496296094	0.9267410024257673	True
X	5500000	5550000	0.8263352496296094	1.0197907833624578	True
X	5550000	5600000	0.8263352496296094	0.972220774423916	True
X	5600000	5650000	0.8263352496296094	0.8824299038523431	True
X	5650000	5700000	0.8263352496296094	0.964141238569706	True
X	5700000	5750000	0.8263352496296094	0.8098769921111021	True
X	5750000	5800000	0.8263352496296094	0.9435490493148039	True
X	5800000	5850000	0.8263352496296094	0.9372011758824675	True
X	5850000	5900000	0.8263352496296094	0.9754176342905784	True
X	5900000	5950000	0.8263352496296094	1.071260246096156	True
X	5950000	6000000	0.8263352496296094	1.089943327019825	True
X	6000000	6050000	0.8263352496296094	0.9625728666827303	True
X	6050000	6100000	0.8263352496296094	0.9902006598585582	True
X	6100000	6150000	0.8263352496296094	0.9813450290162319	True
X	6150000	6200000	0.8263352496296094	0.9475425896916475	True
X	6200000	6250000	0.8263352496296094	0.9630479612537581	True
X	6250000	6300000	0.8263352496296094	1.1058403183217873	True
X	6300000	6350000	0.8263352496296094	1.1030102790511793	True
X	6350000	6400000	0.8263352496296094	0.9960249510553632	True
X	6400000	6450000	0.8263352496296094	0.9984845759647517	True
X	6450000	6500000	0.8263352496296094	0.9318211141763714	True
X	6500000	6550000	0.8263352496296094	1.054257794666165	True
X	6550000	6600000	0.8263352496296094	1.1115032941510017	True
X	6600000	6650000	0.8263352496296094	1.0790564454751228	True
X	6650000	6700000	0.8263352496296094	1.1390494798061668	True
X	6700000	6750000	0.8263352496296094	1.0873728105742106	True
X	6750000	6800000	0.8263352496296094	1.0220293426937082	True
X	6800000	6850000	0.8263352496296094	1.0471662870503915	True
X	6850000	6900000	0.8263352496296094	1.0037627534044824	True
X	6900000	6950000	0.8263352496296094	0.8927102450861066	True
X	6950000	7000000	0.8263352496296094	0.985224748809038	True
X	7000000	7050000	0.8263352496296094	1.0275326165734657	True
X	7050000	7100000	0.8263352496296094	1.15346229786699	True
X	7100000	7150000	0.8263352496296094	0.9748701994162553	True
X	7150000	7200000	0.0047015692986765	1.0	False
X	7200000	7250000	0.0047015692986765	1.0	False
X	7250000	7300000	0.0047015692986765	1.0	False
X	7300000	7350000	0.0047015692986765	1.0	False
X	7350000	7400000	0.0047015692986765	1.0	False
X	7400000	7450000	0.0047015692986765	1.0	False
X	7450000	7500000	0.0047015692986765	1.0	False
X	7500000	7550000	0.0047015692986765	1.0	False
X	7550000	7600000	0.0047015692986765	1.0	False
X	7600000	7650000	1.0416689800537864	0.5	True
X	7650000	7700000	1.0416689800537864	0.525935737239896	True
X	7700000	7750000	1.0416689800537864	0.806858734207424	True
X	7750000	7800000	1.0416689800537864	1.9185470458980218	True
