iteration	target_scale	max_abs_log_ratio
1	1276.604148881476	5.908659823320933
2	1289.3099641791214	5.204355327442238
3	1308.2868950953741	5.2100397165234575
4	1315.1283226744442	5.211778040276098
5	1316.1698732542445	5.211630591642713
6	1317.1492003037902	5.212076509514051
7	1315.9394402831754	5.211936761137981
8	1315.7969709876766	5.21225757341692
9	1314.8775941794695	5.212286684949706
10	1313.7329668834548	5.2121838196874695
11	1313.0857170929166	5.21219842981683
12	1313.2486402334284	5.212446239511164
13	1312.6497090620264	5.2123686244545135
14	1312.4979469944774	5.212414465341027
15	1312.29184948159	5.21241109269027
16	1312.0471236656078	5.212372030090562
17	1311.6181313774389	5.21225062827469
18	1311.885832243618	5.212369580776912
19	1312.0881507528975	5.212456761637046
20	1312.1388495859485	5.212483997555679
21	1312.2297570327971	5.212522267984336
22	1312.3550449874044	5.212570558721249
23	1312.5454495582753	5.212640813617623
24	1312.6110969733181	5.212665084477099
25	1312.6636857904848	5.2126841462108
26	1312.705601669993	5.212699027998809
27	1312.738936540644	5.212710643115706
28	1312.765395540849	5.212719707190834
29	1312.786361221835	5.212726780119077
30	1312.8029494102568	5.212732299431176
31	1312.816057076379	5.2127366067457
32	1312.826402778154	5.212739968637222
33	1312.8345604364727	5.212742593041223
34	1312.8409872699556	5.2127446421163
35	1312.8460467143134	5.212746242308891
36	1312.8500271009034	5.212747492217476
37	1312.8531567935859	5.212748468730853
38	1312.8556163971773	5.212749231815663
39	1312.8575485643626	5.212749828248501
40	1312.8590658464175	5.212750294524339
41	1312.8602569594689	5.212750659122681
42	1312.861191773439	5.212750944273194
43	1312.8619252753936	5.212751167331418
44	1312.8625007122052	5.212751341850794
45	1312.8629520784007	5.212751478418176
46	1312.8633060828436	5.212751585305159
47	1312.8635837015156	5.21275166897593
48	1312.863801402178	5.2127517344833585
49	1312.8639721093598	5.212751785778
50	1312.8641059641002	5.212751825949232
51	1312.8642109216842	5.2127518574134655
52	1312.8642932216176	5.212751882061113
53	1312.8643577569594	5.212751901371354
54	1312.8644083644217	5.212751916501798
55	1312.8644480521434	5.212751928358539
56	1312.8644791784723	5.212751937650925
57	1312.86450359224	5.212751944934349
58	1312.8645227428062	5.212751950643733
59	1312.8645377663638	5.212751955119704
60	1312.864549553613	5.2127519586290685
61	1312.8645588028226	5.212751961380839
62	1312.8645660614247	5.212751963538775
63	1312.8645717586205	5.212751965231188
64	1312.8645762309368	5.212751966558632
65	1312.8645797422562	5.212751967599914
66	1312.864582499516	5.212751968416801
67	1312.864584665014	5.212751969057712
68	1312.8645863660497	5.212751969560608
69	1312.864587702484	5.212751969955247
70	1312.8645887526618	5.212751970264966
71	1312.8645895780573	5.212751970508065
72	1312.864590226913	5.212751970698893
73	1312.8645907370926	5.212751970848706
74	1312.8645911383198	5.212751970966333
75	1312.8645914539306	5.212751971058701
