parent_cnv_segment	observed_cn	latent_cn	sigma_cn	standardized_residual
CNSEG001	0.017135118746448463	0.017123472930226084	0.16666666666666666	-6.987489733427388e-05
CNSEG002	0.006679241528991945	0.017123478463793446	0.24253562503633297	0.043062692061163824
CNSEG003	2.189497799732615	2.1894951738739294	0.22941573387056174	-1.1445852650553066e-05
CNSEG004	0.8263357557536755	1.0871616755564677	0.15	1.7388394653519483
CNSEG005	0.016267089973492382	0.016275356494243658	0.3779644730092272	2.1871158115629176e-05
CNSEG006	0.9944012396427835	1.0871611285822782	0.15	0.6183992595966314
CNSEG007	1.9014499963623506	7.613184421911616	0.35355339059327373	16.155224578570145
CNSEG008	0.004994998638096802	0.005013244783084365	0.4082482904638631	4.469374499237066e-05
CNSEG009	1.6965453559448729	1.6965447646289766	0.21320071635561041	-2.7735173987949608e-06
CNSEG010	2.278208835568132	2.2782072720569757	0.15	-1.0423407707331005e-05
CNSEG011	1.602472945416774	1.6024764554032054	0.3333333333333333	1.0529959293847924e-05
CNSEG012	2.2133015136585636	2.21330073670046	0.15	-5.179720690880648e-06
CNSEG013	2.8051929357035714	2.8051905700610815	0.21320071635561041	-1.1095846816729221e-05
CNSEG014	2.189497799732615	2.1894971580100204	0.23570226039551587	-2.7225983897730467e-06
CNSEG015	1.9806857438660495	1.9806817056424335	0.15	-2.692149077295388e-05
CNSEG016	0.9157336864181262	1.0168188950763797	0.16666666666666666	0.6065112519495206
CNSEG017	1.1119562297785128	1.0168188969769616	0.2886751345948129	-0.32956538821775166
CNSEG018	1.3602765619517645	1.3602747259381907	0.20851441405707477	-8.805211774659374e-06
CNSEG019	1.077957276653557	1.0779576567471247	0.15	2.533957118207771e-06
CNSEG020	1.3095761928422682	1.3095758193197578	0.15	-2.4901500698485774e-06
CNSEG021	4.262205046269171	4.262202407237135	0.18257418583505536	-1.4454573763454988e-05
CNSEG022	1.9035599416745306	1.9035604664550518	0.24253562503633297	2.1637255194236605e-06
CNSEG023	1.009191527800175	1.6568807194125914	0.18569533817705186	3.4879130406325807
CNSEG024	0.10204659855635133	0.1020488667506714	0.25	9.072777280294542e-06
CNSEG025	1.3401551208194793	1.340154250949747	0.1796053020267749	-4.843229695498877e-06
CNSEG026	2.677524915639995	2.6775239296869477	0.22941573387056174	-4.297669695845251e-06
CNSEG027	1.1677245478713043	1.1677233989984885	0.2773500981126146	-4.1423198462471374e-06
CNSEG028	0.01221671317388427	0.012217184644964392	0.15	3.143140534141627e-06
CNSEG029	1.1030513853098902	1.1030510043664346	0.15	-2.53962303779313e-06
CNSEG030	1.3179539840678909	2.7352349155979887	0.15	9.448539543533986
CNSEG031	1.1094925652381435	1.109492995311089	0.15	2.867152969857993e-06
CNSEG032	3.4041627201694484	3.4041606977408585	0.15	-1.3482857266211568e-05
CNSEG033	1.1320989021106738	1.132098994159987	0.15	6.136620885518104e-07
CNSEG034	3.088914632193749	3.0889106609476906	0.4082482904638631	-9.727526485680114e-06
CNSEG035	1.337927554786112	1.3379295763038248	0.25	8.086070851121008e-06
CNSEG036	3.6330972902056815	3.6330952395755345	0.15	-1.3670867646808915e-05
CNSEG037	2.041175173975813	2.041176621673561	0.24253562503633297	5.969010730402936e-06
CNSEG038	3.01759669285469	3.0175927228486743	0.2886751345948129	-1.3752504250350593e-05
CNSEG039	2.015447216135025	2.015447397941545	0.15811388300841897	1.1498453937233634e-06
CNSEG040	3.2406877065321793	3.240685799898747	0.15	-1.2710889549794047e-05
CNSEG041	2.1728671948196214	2.1728679989064714	0.20412414523193154	3.939204982727213e-06
CNSEG042	3.9762266645938684	3.976222522009449	0.2773500981126146	-1.493630053743665e-05
CNSEG043	2.254488264189543	2.2544874742362193	0.15	-5.2663554909552586e-06
CNSEG044	1.0097512975966858	1.009751743583455	0.15	2.9732451286198134e-06
CNSEG045	1.5123583253691026	1.5123571526097668	0.25	-4.691037343462767e-06
CNSEG046	2.00917050326763	2.0091705872059547	0.21320071635561041	3.9370564119162714e-07
CNSEG047	3.0186426934221657	3.0186405371029363	0.1796053020267749	-1.2005877360316562e-05
CNSEG048	1.8322292171137968	1.8322289601172022	0.1643989873053573	-1.5632492564846679e-06
CNSEG049	0.9421312739048087	0.9421315109740728	0.15	1.5804617607232767e-06
CNSEG050	2.126675624352203	2.1266738322193732	0.17407765595569785	-1.0295019311084023e-05
CNSEG051	0.01817501040124661	0.018177556246291016	0.4472135954999579	5.692682579471913e-06
