segment_id	chrom	side	source_cn	generic_source_cn	reciprocal_source_cn
SEQ001	X	L	0.01712346933369856	0.01712346933369856	0.0
SEQ001	X	R	2.253073465755252e-08	2.253073465755252e-08	0.0
SEQ002	X	L	2.4297371183505646e-08	2.4297371183505646e-08	0.0
SEQ002	X	R	2.266870266419692e-08	2.266870266419692e-08	0.0
SEQ003	X	L	2.172371722809892	2.172371722809892	0.0
SEQ003	X	R	1.1023335254400934	1.1023335254400934	0.0
SEQ004	X	L	2.254438409316044e-08	2.254438409316044e-08	0.0
SEQ004	X	R	2.0587840623522248e-08	2.0587840623522248e-08	0.0
SEQ005	X	L	0.0162601874881287	1.6945202369079822e-08	0.01626017054292633
SEQ005	X	R	0.016260728857752475	1.7704022237485994e-08	0.016260711153730237
SEQ006	X	L	1.9064788255240376e-08	1.9064788255240376e-08	0.0
SEQ006	X	R	0.0	0.0	0.0
SEQ007	X	L	0.10702415426845745	1.199433851732712e-07	0.10702403432507228
SEQ007	X	R	1.0870976954415947	1.832700130522615e-08	1.0870976771145935
SEQ008	X	L	1.7860298782158083e-08	1.7860298782158083e-08	0.0
SEQ008	X	R	0.0	0.0	0.0
SEQ009	X	L	7.61312081613859	1.2060349774131422e-07	7.613120695535092
SEQ009	X	R	6.491849033727244	6.491849033727244	0.0
SEQ010	X	L	0.00018631396112831964	1.7247963145908127e-08	0.00018629671316517372
SEQ010	X	R	2.2853726359810738e-08	2.2853726359810738e-08	0.0
SEQ011	X	L	1.6915315476758388	1.6915315476758388	0.0
SEQ011	X	R	2.2536264801346494e-08	2.2536264801346494e-08	0.0
SEQ012	X	L	0.5816625345271446	0.5816625345271446	0.0
SEQ012	X	R	0.6757308437600544	0.6757308437600544	0.0
SEQ013	X	L	2.2538689942001915e-08	2.2538689942001915e-08	0.0
SEQ013	X	R	2.253722613253636e-08	2.253722613253636e-08	0.0
SEQ014	X	L	0.6108243083991445	0.6108243083991445	0.0
SEQ014	X	R	2.2536550036960412e-08	2.2536550036960412e-08	0.0
SEQ015	X	L	0.5918898604609376	0.5918898604609376	0.0
SEQ015	X	R	0.0	0.0	0.0
SEQ016	X	L	0.12843517681938724	1.1996397843265059e-07	0.1284350568554088
SEQ016	X	R	0.35027091118327874	0.0	0.35027091118327874
SEQ017	X	L	0.7536710392406806	0.0	0.7536710392406806
SEQ017	X	R	0.6156934391527027	0.6156934391527027	0.0
SEQ018	X	L	2.2536958790539005e-08	2.2536958790539005e-08	0.0
SEQ018	X	R	0.2088154793946524	0.2088154793946524	0.0
SEQ019	X	L	2.251243289725291e-08	2.251243289725291e-08	0.0
