iteration	global_scale	max_abs_log_row_ratio
1.0	0.9711721085856827	3.579429164432957
2.0	0.9600180413048531	2.775999560295048
3.0	0.9540545042324791	2.725922486222798
4.0	0.9438881147801439	2.7050623361720993
5.0	0.9384452909309541	2.7085339970073488
6.0	0.9331367628664134	2.7067104350209297
7.0	0.9263648535234339	2.705673956165949
8.0	0.9272244033082008	2.703750152556565
9.0	0.9258493074446459	0.11896274596935975
10.0	0.9268718856346744	0.10076707749466213
11.0	0.9274183740932913	0.08649968354797538
12.0	0.9273470947929955	0.07478483279204622
13.0	0.9270435181421234	0.06509680134420251
14.0	0.9257958188659461	0.05702426123992574
15.0	0.9252240048981804	0.06068957294585335
16.0	0.9235633291595425	0.06691189694868475
17.0	0.9228726763150593	0.07198410805773113
18.0	0.9226441777555722	0.07702042321829326
19.0	0.9224672802241368	0.08097547374476076
20.0	0.9223246365147414	0.08413833995554423
21.0	0.9222166225477927	0.08682789746088307
22.0	0.922132283114639	0.08912499952498387
23.0	0.9220621587578339	0.09105338297284056
24.0	0.9220037782325702	0.09266196107387728
25.0	0.9219550979372447	0.09401553208724013
26.0	0.9219147099243232	0.09516145944248319
27.0	0.9218813737325606	0.09613596150971115
28.0	0.9218535511471744	0.09696754218051393
29.0	0.9218301067110682	0.09767960179884513
30.0	0.9218102962596015	0.09829114412038234
31.0	0.9217935051280485	0.0988175288758634
32.0	0.9217860306050965	0.09927143595422631
33.0	0.9218167771327285	0.09966352958543363
34.0	0.9218447516869093	0.09999938016525758
35.0	0.9218702255875938	0.10027051447068965
36.0	0.9218933184880658	0.10050609523055552
37.0	0.9219141681991042	0.10071085871195914
38.0	0.9219329242921491	0.10088892377643546
39.0	0.9219497421396557	0.10104385730602637
40.0	0.9219647780122475	0.10117874220614347
41.0	0.9219781853270133	0.10129624108243654
42.0	0.9219901119337451	0.10139865342629739
43.0	0.9220006982632876	0.10148796584411521
44.0	0.9220100761601979	0.10156589564180066
45.0	0.922018368242416	0.1016339283914276
46.0	0.9220256876570448	0.10169335019727742
47.0	0.9220321381267778	0.10174527536399579
48.0	0.9220378142037353	0.10179067011019143
49.0	0.9220428016659105	0.10183037289645
50.0	0.9220471780064032	0.10186511186149882
51.0	0.9220510129775802	0.10189551979042306
52.0	0.9220543691617625	0.10192214697672335
53.0	0.9220573025475155	0.10194547228605377
54.0	0.9220598630964141	0.10196591268317326
55.0	0.9220620952897052	0.10198383144427818
56.0	0.9220640386477506	0.10199954524347214
57.0	0.9220657282178073	0.10201333027389227
58.0	0.922067195027715	0.10202542754013182
59.0	0.9220684665045361	0.10203604743840457
60.0	0.9220695668583144	0.10204537372383495
61.0	0.9220705174318622	0.10205356694976968
62.0	0.9220713370180611	0.10206076745178345
63.0	0.9220720421464691	0.10206709793859936
64.0	0.9220726473412612	0.10207266574333583
65.0	0.9220731653526208	0.10207756478093305
66.0	0.9220736073637176	0.1020818772511989
67.0	0.9220739831753753	0.10208567512142822
68.0	0.9220743013704634	0.10208902141786835
69.0	0.9220745694599339	0.10209197135127339
70.0	0.9220747940123145	0.10209457329836599
71.0	0.922074980768339	0.10209686965806387
72.0	0.9220751347422728	0.10209889759878298
73.0	0.9220752603113426	0.10210068971095841
74.0	0.9220753612945807	0.10210227457702825
75.0	0.9220754410222437	0.10210367726951596
76.0	0.9220755023968806	0.10210491978643087
77.0	0.9220755479469882	0.10210602143200756
78.0	0.9220755798741253	0.10210699914975523
79.0	0.9220756000942419	0.10210786781387562
80.0	0.9220756102739034	0.10210864048432557
81.0	0.9220756118620264	0.10210932863012555
82.0	0.9220756061176545	0.10210994232491533
83.0	0.9220755941342625	0.1021104904182445
84.0	0.9220755768610049	0.10211098068565218
85.0	0.9220755551212843	0.10211141996017926
86.0	0.9220755296289688	0.1021118142476509
87.0	0.9220755010025575	0.10211216882773534
88.0	0.922075469777533	0.10211248834256438
89.0	0.9220754364171454	0.10211277687445182
90.0	0.9220754013218131	0.10211303801407239
91.0	0.9220753648373149	0.10211327492026998
92.0	0.9220753272619323	0.10211349037254128
93.0	0.9220752888526711	0.10211368681709625
94.0	0.9220752498306788	0.10211386640728637
95.0	0.9220752103859585	0.10211403103909411
96.0	0.9220751706814787	0.10211418238229512
97.0	0.9220751308567448	0.10211432190781781
98.0	0.9220750910309039	0.10211445091177514
99.0	0.9220750513054513	0.10211457053656746
100.0	0.9220750117665818	0.10211468178942883
