chr	pos_start	pos_end	comp_name	comp_rank	continous_rank
chrX	2700001	2710000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2710001	2720000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2720001	2730000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2730001	2740000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2740001	2750000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2750001	2760000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2760001	2770000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2770001	2780000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2780001	2790000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2790001	2800000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2800001	2810000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2810001	2820000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2820001	2830000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2830001	2840000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2840001	2850000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2850001	2860000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2860001	2870000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2870001	2880000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2880001	2890000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2890001	2900000	A.2.1.2.2.1.1.1	0.75	0.715116279069768
chrX	2900001	2910000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	2910001	2920000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	2920001	2930000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	2930001	2940000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	2940001	2950000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	2950001	2960000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	2960001	2970000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	2970001	2980000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	2980001	2990000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	2990001	3e+06	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3000001	3010000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3010001	3020000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3020001	3030000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3030001	3040000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3040001	3050000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3050001	3060000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3060001	3070000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3070001	3080000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3080001	3090000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3090001	3100000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3100001	3110000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3110001	3120000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3120001	3130000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3130001	3140000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3140001	3150000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3150001	3160000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3160001	3170000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3170001	3180000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3180001	3190000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3190001	3200000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3200001	3210000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3210001	3220000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3220001	3230000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3230001	3240000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3240001	3250000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3250001	3260000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3260001	3270000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3270001	3280000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3280001	3290000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3290001	3300000	A.2.2.2.1.1.1	0.625	0.627906976744186
chrX	3300001	3310000	A.2.2.2.2.2.1.2.2	0.625	0.575581395348837
chrX	3310001	3320000	A.2.2.2.2.2.1.2.2	0.625	0.575581395348837
chrX	3320001	3330000	A.2.2.2.2.2.1.2.2	0.625	0.575581395348837
chrX	3330001	3340000	A.2.2.2.2.2.1.2.2	0.625	0.575581395348837
