segment_id	chrom	side	sequence_cn	connected_cn	source_cn	generic_source_cn	reciprocal_source_cn	connected_fraction	source_penalty	source_allowed	is_unresolved_cn_step	is_sv_breakend	is_reciprocal_latent_side	is_telomere
SEQ001	X	L	0.012665079998207955	1.193848440245171e-10	0.01266507987882311	0.01266507987882311	0.0	9.426300034536651e-09	0.0	True	False	False	False	True
SEQ001	X	R	0.012665079998207955	0.012664834942594768	2.450556131866231e-07	2.450556131866231e-07	0.0	0.9999806510805126	1000.0	True	True	False	False	False
SEQ002	X	L	2.189497799732615	0.012664855350321247	2.176832944382294	2.176832944382294	0.0	0.005784365415607131	1000.0	True	True	False	False	False
SEQ002	X	R	2.189497799732615	0.826335520148324	1.363162279584291	1.363162279584291	0.0	0.3774087008670378	1000.0	True	True	False	False	False
SEQ003	X	L	0.8263357557536755	0.8263355073375697	2.4841610575937044e-07	2.4841610575937044e-07	0.0	0.999999699376308	1000.0	True	True	False	False	False
SEQ003	X	R	0.8263357557536755	0.8263356394362931	1.1631738234138136e-07	1.1631738234138136e-07	0.0	0.9999998592371423	1000.0	True	True	True	False	False
SEQ004	X	L	0.01627498472990308	1.940675288782112e-06	0.0162730440546143	0.016273044005525435	4.908886332485022e-11	0.00011924283315709562	1000.0	True	True	False	True	False
SEQ004	X	R	0.01627498472990308	0.01627473869191156	2.4603799152080426e-07	2.459170484413199e-07	1.2094307948436517e-10	0.9999848824440941	1000.0	True	True	False	True	False
SEQ005	X	L	0.9944012396427835	0.8426084369390956	0.15179280270368783	0.15179280270368783	0.0	0.847352560865455	1000.0	True	True	True	False	False
SEQ005	X	R	0.9944012396427835	0.9944012396427835	0.0	0.0	0.0	1.0	0.0	False	False	True	False	False
SEQ006	X	L	0.9944012396427835	0.9944012349229436	4.719839818016815e-09	4.719839818016815e-09	0.0	0.9999999952535861	0.0	False	False	False	True	False
SEQ006	X	R	0.9944012396427835	0.9944009911465155	2.484962680212427e-07	2.484553582516742e-07	4.090976956847846e-11	0.9999997501046277	1000.0	True	True	False	True	False
SEQ007	X	L	1.9022409516478505	0.9944010021473916	0.9078399495004589	0.9078399495004589	0.0	0.5227523891155712	1000.0	True	True	True	False	False
SEQ007	X	R	1.9022409516478505	1.9022409516478505	0.0	0.0	0.0	1.0	0.0	False	False	True	False	False
SEQ008	X	L	1.9022409516478505	1.9022409439969516	7.650898841132475e-09	7.650898841132475e-09	0.0	0.999999995977955	0.0	False	False	False	True	False
SEQ008	X	R	1.9022409516478505	1.121311123268793	0.7809298283790576	0.7809298283790576	0.0	0.5894685015047315	1000.0	True	True	True	False	False
SEQ009	X	L	0.004994998638096802	0.004994757515928449	2.411221683523948e-07	2.407694971573985e-07	3.526711949962582e-10	0.9999517272804614	1000.0	True	True	False	True	False
SEQ009	X	R	0.004994998638096802	0.0049947576538385266	2.4098425827495755e-07	2.4098425827495755e-07	0.0	0.999951754890094	1000.0	True	True	False	False	False
SEQ010	X	L	1.6965453559448729	0.004994773407580366	1.6915505825372925	1.6915505825372925	0.0	0.002944084807446	1000.0	True	True	False	False	False
SEQ010	X	R	1.6965453559448729	1.6965451074295579	2.485153150629597e-07	2.485153150629597e-07	0.0	0.9999998535168458	1000.0	True	True	False	False	False
SEQ011	X	L	2.2565206795870805	1.6965451126929396	0.5599755668941409	0.5599755668941409	0.0	0.7518411544109533	1000.0	True	True	False	False	False
SEQ011	X	R	2.2565206795870805	2.2565206795870805	0.0	0.0	0.0	1.0	0.0	False	False	True	False	False
SEQ012	X	L	2.2565206795870805	2.256520674670389	4.91669141899433e-09	4.91669141899433e-09	0.0	0.9999999978211184	0.0	False	False	False	True	False
SEQ012	X	R	2.2565206795870805	2.2565206186834144	6.090366605457929e-08	3.656174951659588e-08	2.434191653798341e-08	0.9999999730099234	0.0	False	False	True	True	False
SEQ013	X	L	2.2565206795870805	2.2565206795870805	0.0	0.0	0.0	1.0	0.0	False	False	True	True	False
SEQ013	X	R	2.2565206795870805	1.980685497844314	0.27583518174276633	0.27583518174276633	0.0	0.8777608447208021	1000.0	True	True	False	False	False
SEQ014	X	L	1.9806857438660495	1.9806854952501447	2.4861590482890467e-07	2.4861590482890467e-07	0.0	0.9999998744798838	1000.0	True	True	False	False	False
SEQ014	X	R	1.9806857438660495	1.9806857438660495	0.0	0.0	0.0	1.0	0.0	False	False	True	False	False
SEQ015	X	L	1.9806857438660495	1.9806857390069097	4.859139749851466e-09	4.859139749851466e-09	0.0	0.9999999975467386	0.0	False	False	False	True	False
SEQ015	X	R	1.9806857438660495	1.9806856194854066	1.2438064285885322e-07	1.2438064285885322e-07	0.0	0.9999999372032422	1000.0	True	True	True	False	False
SEQ016	X	L	0.9157336864181262	0.9157264319457363	7.254472389937536e-06	7.254472389937536e-06	0.0	0.9999920779671017	1000.0	True	True	False	True	False
SEQ016	X	R	0.9157336864181262	0.9157334377703976	2.4864772858611224e-07	2.4864772858611224e-07	0.0	0.9999997284715717	1000.0	True	True	False	False	False
SEQ017	X	L	1.1119562297785128	0.9157334396168902	0.19622279016162258	0.19622279016162258	0.0	0.8235337103145619	1000.0	True	True	False	False	False
SEQ017	X	R	1.1119562297785128	1.1119559811696462	2.4860886665134633e-07	2.4860886665134633e-07	0.0	0.9999997764220749	1000.0	True	True	False	False	False
SEQ018	X	L	1.3602765619517645	1.1119559835052353	0.24832057844652922	0.24832057844652922	0.0	0.8174484620316977	1000.0	True	True	False	False	False
SEQ018	X	R	1.3602765619517645	1.077957030724826	0.28231953122693837	0.28231953122693837	0.0	0.7924543147153413	1000.0	True	True	False	False	False
SEQ019	X	L	1.077957276653557	1.0779570280700195	2.485835375472685e-07	2.485835375472685e-07	0.0	0.999999769393887	1000.0	True	True	False	False	False
SEQ019	X	R	1.077957276653557	1.0779570280325368	2.4862102026634523e-07	2.4862102026634523e-07	0.0	0.999999769359115	1000.0	True	True	False	False	False
SEQ020	X	L	1.3095761928422682	1.077957030211321	0.23161916263094715	0.23161916263094715	0.0	0.8231342598491751	1000.0	True	True	False	False	False
