segment_id	chrom	side	sequence_cn	connected_cn	source_cn	connected_fraction	source_penalty	source_allowed	is_unresolved_cn_step	is_sv_breakend	is_telomere
SEQ001	chrX	L	0.0020000059398117102	0.0	0.0020000059400668334	0.0	0.0	True	False	False	True
SEQ001	chrX	R	0.0020000059398117102	0.0020000059398117102	0.0	1.0	0.0	False	False	False	False
SEQ002	chrX	L	0.0020000059398117102	0.0020000059398117102	0.0	1.0	0.0	False	False	True	False
SEQ002	chrX	R	0.0020000059398117102	0.0020000059398117102	0.0	1.0	1000.0	True	True	False	False
SEQ003	chrX	L	1.377448136833229	0.0020106248609075283	1.3754375119723214	0.0014596737308237107	1000.0	True	True	False	False
SEQ003	chrX	R	1.377448136833229	1.372251929396995	0.005196207436233859	0.9962276565648561	1000.0	True	True	True	False
SEQ004	chrX	L	0.6978408707172458	0.6978408707172458	0.0	1.0	1000.0	True	True	False	False
SEQ004	chrX	R	0.6978408707172458	0.6978408707172458	0.0	1.0	0.0	False	False	True	False
SEQ005	chrX	L	0.6978408707172458	0.6978408707172458	0.0	1.0	0.0	False	False	False	False
SEQ005	chrX	R	0.6978408707172458	0.6978408707172458	0.0	1.0	0.0	False	False	False	False
SEQ006	chrX	L	0.6978408707172458	0.6978408707172458	0.0	1.0	0.0	False	False	True	False
SEQ006	chrX	R	0.6978408707172458	0.6978408707172458	0.0	1.0	1000.0	True	True	False	False
SEQ007	chrX	L	1.4339492843760053	0.6979205971495285	0.7360286872264769	0.4867121904197848	1000.0	True	True	False	False
SEQ007	chrX	R	1.4339492843760053	1.4339492843760053	0.0	1.0	0.0	False	False	True	False
SEQ008	chrX	L	1.4339492843760053	1.4339492843760053	0.0	1.0	0.0	False	False	False	False
SEQ008	chrX	R	1.4339492843760053	1.4339492843760053	0.0	1.0	0.0	False	False	True	False
SEQ009	chrX	L	1.4339492843760053	1.4339492843760053	0.0	1.0	0.0	False	False	True	False
SEQ009	chrX	R	1.4339492843760053	1.4227759671048752	0.011173317271130155	0.9922080108460793	1000.0	True	True	True	False
SEQ010	chrX	L	0.671863471629617	0.671816094253319	4.7377376298051276e-05	0.9999294836253219	1000.0	True	True	False	False
SEQ010	chrX	R	0.671863471629617	0.671863471629617	0.0	1.0	0.0	False	False	False	False
SEQ011	chrX	L	0.7483110582641044	0.7483110582641044	0.0	1.0	0.0	False	False	False	False
SEQ011	chrX	R	0.7483110582641044	0.5134091810590444	0.2349018772050599	0.6860905974716264	1000.0	True	True	False	False
SEQ012	chrX	L	1.286304317584612	1.264517419126278	0.021786898458334092	0.9830624074252935	1000.0	True	True	True	False
SEQ012	chrX	R	1.286304317584612	0.7838097759835609	0.5024945416010511	0.6093501866303132	1000.0	True	True	True	False
SEQ013	chrX	L	0.783741610556954	0.7835441217522238	0.00019748880473021034	0.9997480179665466	1000.0	True	True	False	False
SEQ013	chrX	R	0.783741610556954	0.783741610556954	0.0	1.0	0.0	False	False	True	False
SEQ014	chrX	L	0.783741610556954	0.783741610556954	0.0	1.0	0.0	False	False	False	False
SEQ014	chrX	R	0.783741610556954	0.783741610556954	0.0	1.0	0.0	False	False	False	False
SEQ015	chrX	L	0.783741610556954	0.783741610556954	0.0	1.0	0.0	False	False	True	False
SEQ015	chrX	R	0.783741610556954	0.783741610556954	0.0	1.0	0.0	False	False	True	False
SEQ016	chrX	L	0.783741610556954	0.783741610556954	0.0	1.0	0.0	False	False	False	False
SEQ016	chrX	R	0.783741610556954	0.783741610556954	0.0	1.0	0.0	False	False	True	False
SEQ017	chrX	L	0.783741610556954	0.783741610556954	0.0	1.0	0.0	False	False	False	False
