edge_id	chrom	boundary	reference_cn
REF001	chrX	350000	0.0020000059398117102
REF002	chrX	2750000	0.0020000059398117102
REF003	chrX	3700000	0.6978408707172458
REF004	chrX	7250000	0.6978408707172458
REF005	chrX	7650000	0.6978408707172458
REF006	chrX	10900000	0.6978408707172458
REF007	chrX	11300000	1.4339183368811346
REF008	chrX	24450000	1.4338760986846693
REF009	chrX	38300000	0.6717993337801665
REF010	chrX	40550000	0.671863471629617
REF011	chrX	48000000	0.5134646783484178
REF012	chrX	50500000	0.7835742622958718
REF013	chrX	51950000	0.7837402704635784
REF014	chrX	52200000	0.783741610556954
REF015	chrX	52650000	0.7837014133640895
REF016	chrX	53700000	0.7837106536733137
REF017	chrX	54000000	0.7750831752098665
REF018	chrX	55000000	0.6969252745609276
REF019	chrX	55600000	0.055604791414652174
REF020	chrX	62400000	0.05651665927231614
REF021	chrX	89250000	0.6951036376317878
REF022	chrX	92850000	0.6584761654897303
REF023	chrX	118000000	0.6962013834884231
REF024	chrX	118250000	1.2589055079217706
REF025	chrX	119000000	1.2589055079217706
REF026	chrX	119100000	1.2589055079217706
REF027	chrX	122700000	1.389282517919127
REF028	chrX	126100000	1.449409243354023
REF029	chrX	126150000	0.9301704152212399
REF030	chrX	130050000	2.053940657670214
REF031	chrX	130100000	1.46411917325984
REF032	chrX	131250000	0.9654052286892864
REF033	chrX	131950000	0.8317960607022319
REF034	chrX	137200000	0.7087791723297265
REF035	chrX	142000000	0.5977326448266442
REF036	chrX	143000000	1.3753006156976986
REF037	chrX	143050000	1.375127489237537
REF038	chrX	144650000	1.3277376147763051
REF039	chrX	146500000	0.5978078912649396
REF040	chrX	154050000	0.6979685986765803
REF041	chrX	154300000	0.6854746421323916
