original_cbs_boundary	snapped_boundary	distance_bp	raw_left_median_cn	raw_right_median_cn	raw_cn_jump
3700000	3700000	0	1.3693109330295417	0.7101877308521596	0.6591232021773821
38300000	38300000	0	1.4028100875516978	0.7182695735884386	0.6845405139632592
48000000	48000000	0	0.6925575534646236	1.1007269714930212	0.4081694180283977
50550000	50500000	-50000	1.361624026035563	0.9221915451836318	0.4394324808519312
54000000	54000000	0	0.8330178052565508	1.361162135497965	0.5281443302414143
55000000	55000000	0	1.5033239841630044	0.7739083764846312	0.7294156076783732
55600000	55600000	0	0.5949690619581465	0.09794296694757257	0.49702609501057393
62450000	62400000	-50000	0.09746748979710398	1.803340444972967	1.7058729551758631
118000000	118000000	0	0.7695705075722263	2.0889809158161987	1.3194104082439724
119150000	119100000	-50000	1.0734237188972824	1.7802266448136828	0.7068029259164004
122750000	122700000	-50000	2.053973282483246	1.692487227636403	0.36148605484684326
130100000	130100000	0	1.8420523053273508	1.4184753380120663	0.4235769673152845
131250000	131250000	0	1.4989768215288422	2.095668193087931	0.5966913715590887
132000000	131950000	-50000	2.1995390647726323	1.6740338937416719	0.5255051710309604
137200000	137200000	0	1.4212009737061115	0.892065380857781	0.5291355928483306
142000000	142000000	0	0.6632189989407047	1.3463870175596533	0.6831680186189486
144700000	144650000	-50000	2.0611215724591925	1.5319368258114687	0.5291847466477237
146500000	146500000	0	1.3880776562493484	0.750804480501206	0.6372731757481425
