original_cbs_boundary	snapped_boundary	distance_bp	raw_left_median_cn	raw_right_median_cn	raw_cn_jump
28350000	28350000	0	2.21818818799339	1.4386340215636273	0.7795541664297625
29450000	29350000	-100000	1.3706823508765922	1.722851344820586	0.3521689939439938
31450000	31450000	0	2.43479154998347	1.7269637383559577	0.7078278116275123
37300000	37300000	0	1.508892766042391	1.9710974609024576	0.46220469486006666
37800000	37800000	0	2.489620599462332	2.0453125295990917	0.44430806986324045
41550000	41500000	-50000	1.3660436371430573	1.7773681235062755	0.41132448636321817
42050000	42000000	-50000	2.181510004554746	1.8551873136433406	0.32632269091140564
46600000	46600000	0	1.2778482791812023	0.6768064958322579	0.6010417833489443
48050000	48050000	0	1.2124832748042391	0.6481580681132901	0.564325206690949
50550000	50550000	0	0.5443340683128997	0.031770015810049415	0.5125640525028502
52600000	52550000	-50000	0.02416712179014927	0.41261552057630213	0.38844839878615284
65800000	65800000	0	0.7983802729213363	0.06683711333773996	0.7315431595835963
69850000	69850000	0	0.02813799439977605	0.7874858284122048	0.7593478340124288
72000000	71950000	-50000	2.0231353348632135	1.5398766794201726	0.4832586554430409
