walk_id	walk_cn	order	edge_id	type	label	edge_cn
18	0.01	1	14	REF	REF014	2.21
18	0.01	2	15	REF	REF015	2.68
18	0.01	3	70	ALT	SV03	1.32
18	0.01	4	56	REF	REF056	2.17
18	0.01	5	57	REF	REF057	3.82
18	0.01	6	78	ALT	SV11	1.09
18	0.01	7	47	REF	REF047	3.5
18	0.01	8	46	REF	REF046	1.34
18	0.01	9	45	REF	REF045	1.18
18	0.01	10	76	ALT	SV09	0.77
18	0.01	11	34	REF	REF034	1.12
18	0.01	12	73	ALT	SV06	1.56
18	0.01	13	73	ALT	SV06	1.56
18	0.01	14	73	ALT	SV06	1.56
18	0.01	15	73	ALT	SV06	1.56
18	0.01	16	73	ALT	SV06	1.56
18	0.01	17	73	ALT	SV06	1.56
18	0.01	18	73	ALT	SV06	1.56
18	0.01	19	73	ALT	SV06	1.56
18	0.01	20	73	ALT	SV06	1.56
18	0.01	21	73	ALT	SV06	1.56
18	0.01	22	73	ALT	SV06	1.56
18	0.01	23	73	ALT	SV06	1.56
18	0.01	24	73	ALT	SV06	1.56
18	0.01	25	73	ALT	SV06	1.56
18	0.01	26	73	ALT	SV06	1.56
18	0.01	27	73	ALT	SV06	1.56
18	0.01	28	73	ALT	SV06	1.56
18	0.01	29	73	ALT	SV06	1.56
18	0.01	30	73	ALT	SV06	1.56
18	0.01	31	73	ALT	SV06	1.56
18	0.01	32	73	ALT	SV06	1.56
18	0.01	33	73	ALT	SV06	1.56
18	0.01	34	73	ALT	SV06	1.56
18	0.01	35	73	ALT	SV06	1.56
18	0.01	36	73	ALT	SV06	1.56
18	0.01	37	73	ALT	SV06	1.56
18	0.01	38	73	ALT	SV06	1.56
18	0.01	39	73	ALT	SV06	1.56
18	0.01	40	73	ALT	SV06	1.56
18	0.01	41	73	ALT	SV06	1.56
18	0.01	42	73	ALT	SV06	1.56
18	0.01	43	73	ALT	SV06	1.56
18	0.01	44	73	ALT	SV06	1.56
18	0.01	45	73	ALT	SV06	1.56
18	0.01	46	73	ALT	SV06	1.56
18	0.01	47	73	ALT	SV06	1.56
18	0.01	48	73	ALT	SV06	1.56
18	0.01	49	73	ALT	SV06	1.56
18	0.01	50	73	ALT	SV06	1.56
18	0.01	51	73	ALT	SV06	1.56
18	0.01	52	73	ALT	SV06	1.56
18	0.01	53	73	ALT	SV06	1.56
18	0.01	54	73	ALT	SV06	1.56
18	0.01	55	73	ALT	SV06	1.56
18	0.01	56	73	ALT	SV06	1.56
18	0.01	57	73	ALT	SV06	1.56
18	0.01	58	73	ALT	SV06	1.56
18	0.01	59	73	ALT	SV06	1.56
18	0.01	60	73	ALT	SV06	1.56
18	0.01	61	73	ALT	SV06	1.56
18	0.01	62	73	ALT	SV06	1.56
18	0.01	63	73	ALT	SV06	1.56
18	0.01	64	73	ALT	SV06	1.56
18	0.01	65	73	ALT	SV06	1.56
18	0.01	66	73	ALT	SV06	1.56
18	0.01	67	73	ALT	SV06	1.56
18	0.01	68	73	ALT	SV06	1.56
18	0.01	69	73	ALT	SV06	1.56
18	0.01	70	73	ALT	SV06	1.56
18	0.01	71	73	ALT	SV06	1.56
18	0.01	72	73	ALT	SV06	1.56
18	0.01	73	73	ALT	SV06	1.56
18	0.01	74	73	ALT	SV06	1.56
18	0.01	75	73	ALT	SV06	1.56
18	0.01	76	73	ALT	SV06	1.56
18	0.01	77	73	ALT	SV06	1.56
18	0.01	78	73	ALT	SV06	1.56
18	0.01	79	73	ALT	SV06	1.56
18	0.01	80	73	ALT	SV06	1.56
18	0.01	81	73	ALT	SV06	1.56
18	0.01	82	73	ALT	SV06	1.56
18	0.01	83	73	ALT	SV06	1.56
18	0.01	84	73	ALT	SV06	1.56
18	0.01	85	73	ALT	SV06	1.56
18	0.01	86	73	ALT	SV06	1.56
18	0.01	87	73	ALT	SV06	1.56
18	0.01	88	73	ALT	SV06	1.56
18	0.01	89	73	ALT	SV06	1.56
18	0.01	90	73	ALT	SV06	1.56
18	0.01	91	73	ALT	SV06	1.56
18	0.01	92	73	ALT	SV06	1.56
18	0.01	93	73	ALT	SV06	1.56
18	0.01	94	73	ALT	SV06	1.56
18	0.01	95	73	ALT	SV06	1.56
18	0.01	96	73	ALT	SV06	1.56
18	0.01	97	73	ALT	SV06	1.56
18	0.01	98	73	ALT	SV06	1.56
18	0.01	99	73	ALT	SV06	1.56
18	0.01	100	73	ALT	SV06	1.56
18	0.01	101	73	ALT	SV06	1.56
18	0.01	102	73	ALT	SV06	1.56
18	0.01	103	73	ALT	SV06	1.56
18	0.01	104	73	ALT	SV06	1.56
18	0.01	105	73	ALT	SV06	1.56
18	0.01	106	73	ALT	SV06	1.56
18	0.01	107	73	ALT	SV06	1.56
18	0.01	108	73	ALT	SV06	1.56
18	0.01	109	73	ALT	SV06	1.56
18	0.01	110	73	ALT	SV06	1.56
18	0.01	111	73	ALT	SV06	1.56
18	0.01	112	73	ALT	SV06	1.56
18	0.01	113	73	ALT	SV06	1.56
18	0.01	114	73	ALT	SV06	1.56
18	0.01	115	73	ALT	SV06	1.56
18	0.01	116	73	ALT	SV06	1.56
18	0.01	117	73	ALT	SV06	1.56
